Player,Nation,Pos,Squad,Comp,Born,GA,GA_per_90,SoTA,Saves,save_percentage,wins,draws,losses,clean_sheet,clean_sheet_percentage,penalties_attempted,penalties_allowed,penalties_saved,penalties_missed,penalty_save_percentage
Darren Randolph,ie IRL,GK,West Ham,eng Premier League,1987,39,1.77,104,65,65.4,7.0,5.0,10.0,4,18.2,5.0,3.0,1.0,1.0,25.0
Pepe Reina,es ESP,GK,Napoli,it Serie A,1982,38,1.03,124,86,71.8,26.0,7.0,4.0,12,32.4,4.0,3.0,1.0,0.0,25.0
Paul Reulet,fr FRA,GK,Caen,fr Ligue 1,1994,8,3.65,16,8,50.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,
Baptiste Reynet,fr FRA,GK,Dijon,fr Ligue 1,1990,58,1.57,198,140,75.3,8.0,12.0,17.0,9,24.3,11.0,9.0,1.0,1.0,10.0
Sergio Rico,es ESP,GK,Sevilla,es La Liga,1993,45,1.29,162,117,74.1,20.0,8.0,7.0,12,34.3,4.0,3.0,1.0,0.0,25.0
Asier Riesgo,es ESP,GK,Eibar,es La Liga,1983,19,1.37,56,37,71.4,5.0,3.0,6.0,4,25.0,3.0,3.0,0.0,0.0,0.0
Rémy Riou,fr FRA,GK,Nantes,fr Ligue 1,1987,34,1.55,88,54,68.2,6.0,6.0,10.0,5,22.7,6.0,6.0,0.0,0.0,0.0
Roberto,es ESP,GK,Espanyol,es La Liga,1986,12,3.48,23,11,47.8,0.0,2.0,1.0,0,0.0,0.0,0.0,0.0,0.0,
Paul Robinson,eng ENG,GK,Burnley,eng Premier League,1979,7,2.33,19,12,63.2,0.0,0.0,3.0,0,0.0,0.0,0.0,0.0,0.0,
Joel Robles,es ESP,GK,Everton,eng Premier League,1990,20,1.04,80,60,77.5,12.0,4.0,3.0,10,52.6,2.0,2.0,0.0,0.0,0.0
Davy Roef,be BEL,GK,La Coruña,es La Liga,1994,0,0.0,4,4,100.0,1.0,0.0,0.0,1,100.0,0.0,0.0,0.0,0.0,
Sergio Romero,ar ARG,GK,Manchester Utd,eng Premier League,1987,0,0.0,10,10,100.0,1.0,1.0,0.0,2,100.0,1.0,0.0,1.0,0.0,100.0
Rubinho,br BRA,GK,Genoa,it Serie A,1982,8,4.0,16,8,56.3,0.0,0.0,2.0,0,0.0,1.0,1.0,0.0,0.0,0.0
Stéphane Ruffier,fr FRA,GK,Saint-Étienne,fr Ligue 1,1986,37,1.19,134,97,73.9,9.0,12.0,10.0,11,35.5,4.0,2.0,2.0,0.0,50.0
Gerónimo Rulli,ar ARG,GK,Real Sociedad,es La Liga,1992,53,1.39,166,113,70.5,19.0,7.0,12.0,10,26.3,7.0,4.0,1.0,2.0,20.0
Mathew Ryan,au AUS,GK,Valencia,es La Liga,1992,5,2.5,11,6,63.6,0.0,0.0,2.0,0,0.0,2.0,1.0,1.0,0.0,50.0
Romain Salin,fr FRA,GK,Guingamp,fr Ligue 1,1984,0,0.0,3,3,100.0,1.0,0.0,0.0,1,100.0,0.0,0.0,0.0,0.0,
Kasper Schmeichel,dk DEN,GK,Leicester City,eng Premier League,1986,47,1.59,157,110,72.0,10.0,7.0,13.0,8,26.7,3.0,3.0,0.0,0.0,0.0
Alexander Schwolow,de GER,GK,Freiburg,de Bundesliga,1992,60,1.76,165,105,66.1,14.0,6.0,14.0,6,17.6,6.0,4.0,2.0,0.0,33.3
Simone Scuffet,it ITA,GK,Udinese,it Serie A,1996,11,2.14,28,17,64.3,1.0,2.0,2.0,0,0.0,1.0,1.0,0.0,0.0,0.0
Andrea Seculin,it ITA,GK,Chievo,it Serie A,1990,9,2.25,30,21,70.0,0.0,0.0,4.0,0,0.0,0.0,0.0,0.0,0.0,
Salvatore Sirigu,it ITA,GK,Osasuna,es La Liga,1987,51,2.83,109,58,55.0,3.0,3.0,12.0,1,5.6,4.0,2.0,1.0,1.0,33.3
Salvatore Sirigu,it ITA,GK,Sevilla,es La Liga,1987,3,1.52,8,5,75.0,0.0,1.0,1.0,0,0.0,1.0,1.0,0.0,0.0,0.0
Łukasz Skorupski,pl POL,GK,Empoli,it Serie A,1991,56,1.6,199,143,74.4,8.0,8.0,19.0,10,28.6,9.0,5.0,3.0,1.0,37.5
Yann Sommer,ch SUI,GK,M'Gladbach,de Bundesliga,1988,49,1.44,146,97,69.2,12.0,9.0,13.0,10,29.4,5.0,4.0,0.0,1.0,0.0
David Soria,es ESP,GK,Sevilla,es La Liga,1993,0,0.0,2,2,100.0,1.0,0.0,0.0,1,100.0,0.0,0.0,0.0,0.0,
Stefano Sorrentino,it ITA,GK,Chievo,it Serie A,1979,52,1.53,158,106,69.6,12.0,7.0,15.0,10,29.4,6.0,4.0,0.0,2.0,0.0
Marco Sportiello,it ITA,GK,Fiorentina,it Serie A,1992,4,2.0,6,2,50.0,1.0,0.0,1.0,0,0.0,1.0,1.0,0.0,0.0,0.0
Marco Sportiello,it ITA,GK,Atalanta,it Serie A,1992,14,1.75,33,19,60.6,3.0,2.0,3.0,2,25.0,1.0,1.0,0.0,0.0,0.0
Tom Starke,de GER,GK,Bayern Munich,de Bundesliga,1981,5,1.67,17,12,76.5,3.0,0.0,0.0,1,33.3,2.0,1.0,1.0,0.0,50.0
Maarten Stekelenburg,nl NED,GK,Everton,eng Premier League,1982,24,1.28,68,44,66.2,5.0,6.0,8.0,3,15.8,3.0,1.0,1.0,1.0,50.0
Marco Storari,it ITA,GK,Cagliari,it Serie A,1977,36,2.58,89,53,62.9,3.0,2.0,9.0,0,0.0,4.0,3.0,0.0,1.0,0.0
Thomas Strakosha,al ALB,GK,Lazio,it Serie A,1995,26,1.27,86,60,74.4,12.0,3.0,5.0,6,30.0,4.0,4.0,0.0,0.0,0.0
Danijel Subašić,hr CRO,GK,Monaco,fr Ligue 1,1984,28,0.78,112,84,76.8,28.0,5.0,3.0,17,47.2,4.0,2.0,2.0,0.0,50.0
Seydou Sy,sn SEN,GK,Monaco,fr Ligue 1,1995,0,0.0,1,1,100.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,
Wojciech Szczęsny,pl POL,GK,Roma,it Serie A,1990,38,1.0,154,116,76.6,28.0,3.0,7.0,14,36.8,4.0,2.0,2.0,0.0,50.0
Ciprian Tătărușanu,ro ROU,GK,Fiorentina,it Serie A,1986,51,1.48,156,105,69.9,14.0,10.0,10.0,11,31.4,5.0,4.0,0.0,1.0,0.0
Marc-André ter Stegen,de GER,GK,Barcelona,es La Liga,1992,33,0.92,162,129,79.6,27.0,6.0,3.0,13,36.1,0.0,0.0,0.0,0.0,
Alexis Thébaux,fr FRA,GK,Bastia,fr Ligue 1,1985,5,5.0,8,3,37.5,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,
Kevin Trapp,de GER,GK,Paris S-G,fr Ligue 1,1990,13,0.55,55,42,78.2,18.0,4.0,2.0,15,62.5,2.0,1.0,1.0,0.0,50.0
Przemysław Tytoń,pl POL,GK,La Coruña,es La Liga,1987,23,1.84,58,35,62.1,2.0,5.0,5.0,2,16.7,1.0,1.0,0.0,0.0,0.0
Sven Ulreich,de GER,GK,Bayern Munich,de Bundesliga,1988,4,0.8,16,12,81.3,3.0,1.0,1.0,2,40.0,1.0,1.0,0.0,0.0,0.0
Víctor Valdés,es ESP,GK,Middlesbrough,eng Premier League,1982,36,1.29,118,82,72.0,3.0,10.0,15.0,8,28.6,3.0,3.0,0.0,0.0,0.0
Javi Varas,es ESP,GK,Las Palmas,es La Liga,1982,47,1.88,125,78,68.0,7.0,5.0,13.0,2,8.0,7.0,7.0,0.0,0.0,0.0
Ivan Vargić,hr CRO,GK,Lazio,it Serie A,1987,3,3.0,6,3,50.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,
Rémy Vercoutre,fr FRA,GK,Caen,fr Ligue 1,1980,55,1.63,144,89,66.7,9.0,6.0,19.0,8,23.5,7.0,7.0,0.0,0.0,0.0
Iván Villar,es ESP,GK,Celta Vigo,es La Liga,1997,3,3.0,5,2,40.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,
Thomas Vincensini,fr FRA,GK,Bastia,fr Ligue 1,1993,5,1.67,26,21,80.8,0.0,1.0,2.0,0,0.0,0.0,0.0,0.0,0.0,
Emiliano Viviano,it ITA,GK,Sampdoria,it Serie A,1985,20,1.18,68,48,73.5,7.0,5.0,5.0,3,17.6,3.0,2.0,1.0,0.0,33.3
Michel Vorm,nl NED,GK,Tottenham,eng Premier League,1983,2,0.43,9,7,88.9,2.0,3.0,0.0,2,50.0,1.0,1.0,0.0,0.0,0.0
Roman Weidenfeller,de GER,GK,Dortmund,de Bundesliga,1980,11,1.57,28,17,60.7,2.0,4.0,1.0,0,0.0,0.0,0.0,0.0,0.0,
Felix Wiedwald,de GER,GK,Werder Bremen,de Bundesliga,1990,49,2.0,145,96,70.3,10.0,2.0,13.0,5,20.8,8.0,6.0,2.0,0.0,25.0
Yoel,es ESP,GK,Eibar,es La Liga,1988,32,1.36,121,89,75.2,10.0,6.0,8.0,6,27.3,3.0,2.0,1.0,0.0,33.3
Ron-Robert Zieler,de GER,GK,Leicester City,eng Premier League,1989,16,1.91,33,17,51.5,2.0,1.0,5.0,1,12.5,0.0,0.0,0.0,0.0,
Antonio Adán,es ESP,GK,Betis,es La Liga,1987,53,1.77,128,82,60.9,14.0,4.0,12.0,9,30.0,4.0,3.0,1.0,0.0,25.0
René Adler,de GER,GK,Mainz 05,de Bundesliga,1985,18,1.29,51,34,66.7,5.0,3.0,6.0,4,28.6,2.0,1.0,0.0,1.0,0.0
Adrián,es ESP,GK,West Ham,eng Premier League,1987,29,1.53,95,68,70.5,7.0,6.0,6.0,6,31.6,1.0,1.0,0.0,0.0,0.0
Alisson,br BRA,GK,Roma,it Serie A,1992,28,0.76,135,107,81.5,22.0,8.0,7.0,17,45.9,5.0,3.0,2.0,0.0,40.0
Sergio Álvarez,es ESP,GK,Celta Vigo,es La Liga,1986,29,1.76,77,50,63.6,3.0,6.0,7.0,3,18.8,1.0,1.0,0.0,0.0,0.0
Jon Ander Serantes,es ESP,GK,Leganés,es La Liga,1989,2,2.0,9,7,77.8,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,
Nícolas Andrade,br BRA,GK,Hellas Verona,it Serie A,1988,71,1.97,231,167,71.9,7.0,4.0,25.0,7,19.4,8.0,6.0,2.0,0.0,25.0
Miguel Ángel Moyá,es ESP,GK,Real Sociedad,es La Liga,1984,8,0.94,30,24,80.0,3.0,2.0,4.0,2,22.2,3.0,2.0,1.0,0.0,33.3
Alphonse Areola,fr FRA,GK,Paris S-G,fr Ligue 1,1993,25,0.74,106,82,77.4,26.0,6.0,2.0,17,50.0,2.0,1.0,1.0,0.0,50.0
Kepa Arrizabalaga,es ESP,GK,Athletic Club,es La Liga,1994,43,1.43,135,96,68.9,7.0,9.0,14.0,7,23.3,3.0,1.0,2.0,0.0,66.7
Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,1989,30,1.3,89,62,69.7,12.0,3.0,8.0,6,26.1,5.0,3.0,2.0,0.0,40.0
Mariano Barbosa,ar ARG,GK,Villarreal,es La Liga,1984,14,1.12,47,34,72.3,6.0,3.0,3.0,5,41.7,1.0,1.0,0.0,0.0,0.0
Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,1990,48,1.41,146,104,69.2,15.0,10.0,9.0,10,29.4,4.0,3.0,1.0,0.0,25.0
Asmir Begović,ba BIH,GK,Bournemouth,eng Premier League,1987,61,1.61,173,114,65.9,11.0,11.0,16.0,6,15.8,4.0,2.0,1.0,1.0,33.3
Vid Belec,si SVN,GK,Sampdoria,it Serie A,1990,5,2.5,15,11,73.3,0.0,0.0,2.0,0,0.0,1.0,1.0,0.0,0.0,0.0
Vid Belec,si SVN,GK,Benevento,it Serie A,1990,32,2.59,73,51,60.3,2.0,0.0,10.0,1,7.7,3.0,3.0,0.0,0.0,0.0
Diego Benaglio,ch SUI,GK,Monaco,fr Ligue 1,1983,0,0.0,6,6,100.0,2.0,0.0,0.0,2,100.0,0.0,0.0,0.0,0.0,
Walter Benítez,ar ARG,GK,Nice,fr Ligue 1,1993,36,1.29,114,83,71.1,12.0,8.0,8.0,7,25.0,5.0,3.0,2.0,0.0,40.0
Etrit Berisha,al ALB,GK,Atalanta,it Serie A,1989,34,1.1,99,66,66.7,13.0,10.0,8.0,8,25.8,2.0,1.0,1.0,0.0,50.0
Quentin Beunardeau,fr FRA,GK,Metz,fr Ligue 1,1994,2,4.62,4,2,50.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,
Albano Bizzarri,ar ARG,GK,Udinese,it Serie A,1977,52,1.62,137,91,63.5,11.0,4.0,17.0,8,25.0,5.0,2.0,2.0,1.0,50.0
Rubén Blanco,es ESP,GK,Celta Vigo,es La Liga,1995,31,1.44,90,62,68.9,10.0,4.0,8.0,4,18.2,4.0,3.0,0.0,1.0,0.0
Landry Bonnefoi,fr FRA,GK,Strasbourg,fr Ligue 1,1983,6,1.99,17,11,64.7,2.0,0.0,1.0,1,33.3,0.0,0.0,0.0,0.0,
Jean-Christophe Bouet,fr FRA,GK,Amiens,fr Ligue 1,1983,1,1.0,6,5,83.3,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,
Yassine Bounou,ma MAR,GK,Girona,es La Liga,1991,46,1.56,136,95,69.1,13.0,6.0,11.0,9,30.0,5.0,4.0,0.0,1.0,0.0
Claudio Bravo,cl CHI,GK,Manchester City,eng Premier League,1983,1,0.4,5,4,80.0,2.0,0.0,0.0,1,50.0,0.0,0.0,0.0,0.0,
Alberto Brignoli,it ITA,GK,Benevento,it Serie A,1991,31,2.48,71,42,59.2,1.0,2.0,10.0,2,18.2,4.0,2.0,0.0,2.0,0.0
Gianluigi Buffon,it ITA,GK,Juventus,it Serie A,1978,14,0.68,58,48,81.0,17.0,2.0,2.0,11,52.4,4.0,3.0,1.0,0.0,25.0
Roman Bürki,ch SUI,GK,Dortmund,de Bundesliga,1990,43,1.3,140,100,70.7,15.0,9.0,9.0,12,36.4,2.0,2.0,0.0,0.0,0.0
Ludovic Butelle,fr FRA,GK,Angers,fr Ligue 1,1983,22,1.2,70,52,72.9,6.0,5.0,7.0,4,21.1,3.0,3.0,0.0,0.0,0.0
Jack Butland,eng ENG,GK,Stoke City,eng Premier League,1993,61,1.74,198,144,71.7,7.0,11.0,17.0,6,17.1,5.0,5.0,0.0,0.0,0.0
Willy Caballero,ar ARG,GK,Chelsea,eng Premier League,1981,4,1.33,11,7,63.6,1.0,1.0,1.0,1,33.3,0.0,0.0,0.0,0.0,
Yoan Cardinale,fr FRA,GK,Nice,fr Ligue 1,1994,16,1.6,43,28,62.8,3.0,1.0,6.0,3,30.0,0.0,0.0,0.0,0.0,
Kiko Casilla,es ESP,GK,Real Madrid,es La Liga,1986,11,1.1,32,22,65.6,6.0,2.0,2.0,3,30.0,0.0,0.0,0.0,0.0,
Koen Casteels,be BEL,GK,Wolfsburg,de Bundesliga,1992,48,1.41,143,102,70.6,6.0,15.0,13.0,8,23.5,10.0,6.0,3.0,1.0,33.3
Petr Čech,cz CZE,GK,Arsenal,eng Premier League,1982,48,1.42,129,86,66.7,16.0,6.0,12.0,11,32.4,6.0,5.0,1.0,0.0,16.7
Nereo Champagne,ar ARG,GK,Leganés,es La Liga,1985,6,3.0,9,4,44.4,0.0,0.0,2.0,0,0.0,1.0,1.0,0.0,0.0,0.0
Leandro Chichizola,ar ARG,GK,Las Palmas,es La Liga,1990,47,1.74,152,109,71.1,4.0,5.0,18.0,4,14.8,3.0,3.0,0.0,0.0,0.0
Jasper Cillessen,nl NED,GK,Barcelona,es La Liga,1989,1,1.0,7,6,85.7,1.0,0.0,0.0,1,100.0,0.0,0.0,0.0,0.0,
Andrea Consigli,it ITA,GK,Sassuolo,it Serie A,1987,58,1.57,172,117,67.4,11.0,10.0,16.0,10,27.0,3.0,2.0,1.0,0.0,33.3
Alex Cordaz,it ITA,GK,Crotone,it Serie A,1983,66,1.74,199,138,69.8,9.0,8.0,21.0,5,13.2,8.0,6.0,1.0,1.0,14.3
Angelo da Costa Júnior,br BRA,GK,Bologna,it Serie A,1983,5,1.25,16,12,75.0,1.0,0.0,3.0,1,25.0,1.0,1.0,0.0,0.0,0.0
Benoît Costil,fr FRA,GK,Bordeaux,fr Ligue 1,1987,45,1.25,119,79,65.5,16.0,7.0,13.0,10,27.8,9.0,4.0,4.0,1.0,50.0
Thibaut Courtois,be BEL,GK,Chelsea,eng Premier League,1992,34,0.97,103,73,68.9,20.0,6.0,9.0,15,42.9,2.0,2.0,0.0,0.0,0.0
Alessio Cragno,it ITA,GK,Cagliari,it Serie A,1994,47,1.67,121,80,66.1,7.0,4.0,17.0,7,24.1,10.0,6.0,2.0,2.0,25.0
Luca Crosta,it ITA,GK,Cagliari,it Serie A,1998,3,3.0,2,0,0.0,0.0,0.0,1.0,0,0.0,1.0,1.0,0.0,0.0,0.0
Iván Cuéllar,es ESP,GK,Leganés,es La Liga,1984,43,1.23,143,105,73.4,11.0,8.0,18.0,14,40.0,6.0,5.0,1.0,0.0,16.7
Karl Darlow,eng ENG,GK,Newcastle Utd,eng Premier League,1990,15,1.5,43,32,72.1,1.0,5.0,4.0,2,20.0,3.0,3.0,0.0,0.0,0.0
Abdoulaye Diallo,sn SEN,GK,Rennes,fr Ligue 1,1992,5,1.67,16,12,75.0,0.0,2.0,1.0,0,0.0,1.0,1.0,0.0,0.0,0.0
Thomas Didillon,fr FRA,GK,Metz,fr Ligue 1,1995,14,1.56,36,26,69.4,1.0,1.0,7.0,2,22.2,3.0,3.0,0.0,0.0,0.0
Marko Dmitrović,rs SRB,GK,Eibar,es La Liga,1992,49,1.36,121,80,62.8,13.0,8.0,15.0,10,27.8,4.0,4.0,0.0,0.0,0.0
Jaume Doménech,es ESP,GK,Valencia,es La Liga,1990,5,1.0,22,17,77.3,4.0,0.0,1.0,2,40.0,0.0,0.0,0.0,0.0,
Gianluigi Donnarumma,it ITA,GK,Milan,it Serie A,1999,42,1.11,131,92,69.5,18.0,10.0,10.0,12,31.6,3.0,2.0,0.0,1.0,0.0
Bartłomiej Drągowski,pl POL,GK,Fiorentina,it Serie A,1997,8,3.32,18,10,55.6,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,0.0,
Martin Dúbravka,sk SVK,GK,Newcastle Utd,eng Premier League,1989,11,0.92,37,26,70.3,6.0,1.0,5.0,4,33.3,1.0,0.0,1.0,0.0,100.0
Maxime Dupé,fr FRA,GK,Nantes,fr Ligue 1,1993,3,3.0,4,2,50.0,0.0,0.0,1.0,0,0.0,1.0,1.0,0.0,0.0,0.0
Ederson,br BRA,GK,Manchester City,eng Premier League,1993,26,0.73,79,54,67.1,30.0,4.0,2.0,16,44.4,3.0,0.0,2.0,1.0,100.0
Rob Elliot,ie IRL,GK,Newcastle Utd,eng Premier League,1986,21,1.31,62,43,67.7,5.0,2.0,9.0,3,18.8,2.0,1.0,1.0,0.0,50.0
Michael Esser,de GER,GK,Hannover 96,de Bundesliga,1987,9,3.0,21,12,57.1,1.0,0.0,2.0,0,0.0,1.0,0.0,0.0,1.0,
Łukasz Fabiański,pl POL,GK,Swansea City,eng Premier League,1985,56,1.47,191,140,72.3,8.0,9.0,21.0,9,23.7,7.0,3.0,3.0,1.0,50.0
Ralf Fährmann,de GER,GK,Schalke 04,de Bundesliga,1988,37,1.1,121,87,71.9,18.0,9.0,7.0,12,35.3,6.0,3.0,2.0,1.0,40.0
Andrés Fernández,es ESP,GK,Villarreal,es La Liga,1986,6,2.4,15,10,66.7,0.0,1.0,2.0,0,0.0,1.0,1.0,0.0,0.0,0.0
Raúl Fernández,es ESP,GK,Levante,es La Liga,1988,15,1.36,53,38,71.7,2.0,6.0,3.0,3,27.3,0.0,0.0,0.0,0.0,
Fraser Forster,eng ENG,GK,Southampton,eng Premier League,1988,30,1.5,96,66,68.8,4.0,7.0,9.0,4,20.0,1.0,0.0,1.0,0.0,100.0
Ben Foster,eng ENG,GK,West Brom,eng Premier League,1983,55,1.49,152,99,64.5,6.0,12.0,19.0,10,27.0,1.0,1.0,0.0,0.0,0.0
Paulo Gazzaniga,ar ARG,GK,Tottenham,eng Premier League,1992,0,0.0,3,3,100.0,1.0,0.0,0.0,1,100.0,0.0,0.0,0.0,0.0,
David de Gea,es ESP,GK,Manchester Utd,eng Premier League,1990,28,0.76,140,115,80.7,24.0,6.0,7.0,18,48.6,1.0,1.0,0.0,0.0,0.0
Rafał Gikiewicz,pl POL,GK,Freiburg,de Bundesliga,1987,3,1.75,7,4,57.1,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,
Dani Giménez,es ESP,GK,Betis,es La Liga,1983,0,0.0,7,7,100.0,3.0,0.0,0.0,3,75.0,0.0,0.0,0.0,0.0,
Pierluigi Gollini,it ITA,GK,Atalanta,it Serie A,1995,4,0.58,17,13,76.5,3.0,2.0,2.0,3,42.9,0.0,0.0,0.0,0.0,
Heurelho Gomes,br BRA,GK,Watford,eng Premier League,1981,40,1.69,98,62,62.2,7.0,5.0,12.0,5,20.8,3.0,3.0,0.0,0.0,0.0
Alfred Gomis,sn SEN,GK,SPAL,it Serie A,1993,43,1.71,136,99,72.8,6.0,7.0,12.0,3,12.0,7.0,6.0,1.0,0.0,14.3
Mathieu Gorgelin,fr FRA,GK,Lyon,fr Ligue 1,1990,6,1.5,12,6,50.0,2.0,1.0,1.0,1,25.0,0.0,0.0,0.0,0.0,
Lee Grant,eng ENG,GK,Stoke City,eng Premier League,1983,7,2.33,14,7,50.0,0.0,1.0,2.0,1,33.3,0.0,0.0,0.0,0.0,
Vicente Guaita,es ESP,GK,Getafe,es La Liga,1987,26,0.79,108,83,76.9,13.0,9.0,11.0,12,36.4,3.0,1.0,1.0,1.0,50.0
Péter Gulácsi,hu HUN,GK,RB Leipzig,de Bundesliga,1990,52,1.58,143,95,67.1,15.0,8.0,10.0,6,18.2,5.0,5.0,0.0,0.0,0.0
Régis Gurtner,fr FRA,GK,Amiens,fr Ligue 1,1986,41,1.11,178,141,79.2,12.0,9.0,16.0,11,29.7,4.0,4.0,0.0,0.0,0.0
Ben Hamer,eng ENG,GK,Leicester City,eng Premier League,1987,7,2.29,13,7,53.8,0.0,1.0,2.0,1,33.3,1.0,1.0,0.0,0.0,0.0
Samir Handanović,si SVN,GK,Inter,it Serie A,1984,30,0.79,119,94,76.5,20.0,12.0,6.0,17,44.7,2.0,2.0,0.0,0.0,0.0
Joe Hart,eng ENG,GK,West Ham,eng Premier League,1987,39,2.05,88,53,60.2,3.0,6.0,10.0,4,21.1,5.0,4.0,1.0,0.0,20.0
Tom Heaton,eng ENG,GK,Burnley,eng Premier League,1986,4,1.18,13,9,69.2,1.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,
Wayne Hennessey,wal WAL,GK,Crystal Palace,eng Premier League,1987,41,1.52,128,90,68.8,8.0,6.0,13.0,7,25.9,1.0,1.0,0.0,0.0,0.0
Iago Herrerín,es ESP,GK,Athletic Club,es La Liga,1988,6,0.75,26,22,84.6,3.0,4.0,1.0,4,50.0,3.0,2.0,1.0,0.0,33.3
Marwin Hitz,ch SUI,GK,Augsburg,de Bundesliga,1987,42,1.31,159,118,74.2,10.0,10.0,12.0,9,28.1,2.0,1.0,1.0,0.0,50.0
Timo Horn,de GER,GK,Köln,de Bundesliga,1993,70,2.06,197,135,68.5,5.0,7.0,22.0,5,14.7,9.0,8.0,1.0,0.0,11.1
Lukáš Hrádecký,fi FIN,GK,Eint Frankfurt,de Bundesliga,1989,45,1.32,133,91,67.7,14.0,7.0,13.0,7,20.6,3.0,2.0,0.0,1.0,0.0
Gorka Iraizoz,es ESP,GK,Girona,es La Liga,1981,13,1.53,37,26,64.9,1.0,3.0,4.0,2,25.0,0.0,0.0,0.0,0.0,
Eldin Jakupović,ch SUI,GK,Leicester City,eng Premier League,1984,6,3.0,13,8,53.8,1.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,
Rune Jarstein,no NOR,GK,Hertha BSC,de Bundesliga,1984,44,1.42,130,92,70.0,10.0,10.0,11.0,7,22.6,6.0,5.0,0.0,1.0,0.0
Karl-Johan Johnsson,se SWE,GK,Guingamp,fr Ligue 1,1990,59,1.55,169,116,68.0,12.0,11.0,15.0,11,28.9,7.0,5.0,2.0,0.0,28.6
Bingourou Kamara,sn SEN,GK,Strasbourg,fr Ligue 1,1996,32,1.7,90,60,66.7,4.0,6.0,9.0,2,10.5,2.0,2.0,0.0,0.0,0.0
Loris Karius,de GER,GK,Liverpool,eng Premier League,1993,14,0.74,42,30,71.4,11.0,5.0,3.0,10,52.6,3.0,2.0,1.0,0.0,33.3
Orestis Karnezis,gr GRE,GK,Watford,eng Premier League,1985,24,1.67,52,31,59.6,4.0,3.0,7.0,4,28.6,3.0,3.0,0.0,0.0,0.0
Eiji Kawashima,jp JPN,GK,Metz,fr Ligue 1,1983,60,2.1,172,113,65.1,5.0,7.0,17.0,2,6.9,2.0,0.0,2.0,0.0,100.0
Hervé Koffi,bf BFA,GK,Lille,fr Ligue 1,1996,11,2.75,19,10,47.4,0.0,1.0,3.0,0,0.0,1.0,1.0,0.0,0.0,0.0
Tomáš Koubek,cz CZE,GK,Rennes,fr Ligue 1,1992,36,1.06,130,98,73.8,16.0,8.0,10.0,10,29.4,3.0,2.0,1.0,0.0,33.3
Maksym Koval,ua UKR,GKMF,La Coruña,es La Liga,1992,3,2.23,5,2,40.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,
Thomas Kraft,de GER,GK,Hertha BSC,de Bundesliga,1988,2,0.67,12,11,91.7,0.0,3.0,0.0,1,33.3,1.0,1.0,0.0,0.0,0.0
Alban Lafont,fr FRA,GK,Toulouse,fr Ligue 1,1999,54,1.42,161,113,70.2,9.0,10.0,19.0,12,31.6,6.0,6.0,0.0,0.0,0.0
Eugenio Lamanna,it ITA,GK,Genoa,it Serie A,1989,1,1.0,3,2,66.7,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,
Benjamin Lecomte,fr FRA,GK,Montpellier,fr Ligue 1,1991,33,0.87,121,93,76.9,11.0,18.0,9.0,14,36.8,6.0,5.0,0.0,1.0,0.0
Bernd Leno,de GER,GK,Leverkusen,de Bundesliga,1992,40,1.21,104,68,66.3,15.0,10.0,8.0,10,30.3,5.0,5.0,0.0,0.0,0.0
Alexandre Letellier,fr FRA,GK,Angers,fr Ligue 1,1990,17,1.31,46,32,67.4,2.0,7.0,4.0,1,7.7,2.0,2.0,0.0,0.0,0.0
Raúl Lizoain,es ESP,GK,Las Palmas,es La Liga,1991,27,2.45,61,36,59.0,1.0,2.0,8.0,1,9.1,2.0,2.0,0.0,0.0,0.0
Hugo Lloris,fr FRA,GK,Tottenham,eng Premier League,1986,35,0.97,120,86,72.5,22.0,7.0,7.0,15,41.7,3.0,2.0,1.0,0.0,33.3
Anthony Lopes,pt POR,GK,Lyon,fr Ligue 1,1990,37,1.09,135,106,76.3,21.0,8.0,5.0,14,41.2,8.0,5.0,2.0,1.0,28.6
Diego López,es ESP,GK,Espanyol,es La Liga,1981,11,1.05,38,30,73.7,3.0,4.0,2.0,3,27.3,2.0,1.0,1.0,0.0,50.0
Pau López,es ESP,GK,Espanyol,es La Liga,1994,31,1.13,128,100,78.1,9.0,9.0,11.0,9,33.3,5.0,3.0,1.0,1.0,25.0
Pedro López,es ESP,GK,Betis,es La Liga,1995,8,1.75,18,10,55.6,1.0,2.0,2.0,0,0.0,0.0,0.0,0.0,0.0,
